Date : 2025-09-01 11:51:47
Directory : /home/omar/Documents/ruleIQ
Total : 2222 files,  904423 codes, 25590 comments, 90891 blanks, all 1020904 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/omar/Documents/ruleIQ/tests/fixtures/mock_llm.py                                                        | Python             |        223 |         20 |         52 |        295 |
| /home/omar/Documents/ruleIQ/tests/fixtures/state_fixtures.py                                                  | Python             |        247 |          9 |         57 |        313 |
| /home/omar/Documents/ruleIQ/tests/integration/__init__.py                                                     | Python             |          0 |          0 |          1 |          1 |
| /home/omar/Documents/ruleIQ/tests/integration/api/__init__.py                                                 | Python             |          0 |          0 |          1 |          1 |
| /home/omar/Documents/ruleIQ/tests/integration/api/test_ai_assessments.py                                      | Python             |        572 |         69 |        142 |        783 |
| /home/omar/Documents/ruleIQ/tests/integration/api/test_ai_assessments_summary.md                              | Markdown           |         56 |          0 |         20 |         76 |
| /home/omar/Documents/ruleIQ/tests/integration/api/test_analytics_endpoints.py                                 | Python             |        357 |          9 |         74 |        440 |
| /home/omar/Documents/ruleIQ/tests/integration/api/test_chat_endpoints.py                                      | Python             |        200 |         13 |         56 |        269 |
| /home/omar/Documents/ruleIQ/tests/integration/api/test_enhanced_chat_endpoints.py                             | Python             |        367 |         17 |         59 |        443 |
| /home/omar/Documents/ruleIQ/tests/integration/api/test_evidence_classification.py                             | Python             |        270 |         19 |         71 |        360 |
| /home/omar/Documents/ruleIQ/tests/integration/api/test_evidence_endpoints.py                                  | Python             |        486 |         35 |        116 |        637 |
| /home/omar/Documents/ruleIQ/tests/integration/api/test_freemium_endpoints.py                                  | Python             |        546 |         20 |        133 |        699 |
| /home/omar/Documents/ruleIQ/tests/integration/api/test_iq_agent_endpoints.py                                  | Python             |        446 |         23 |        110 |        579 |
| /home/omar/Documents/ruleIQ/tests/integration/api/test_quality_analysis.py                                    | Python             |        318 |         11 |         69 |        398 |
| /home/omar/Documents/ruleIQ/tests/integration/database/__init__.py                                            | Python             |          0 |          0 |          1 |          1 |
| /home/omar/Documents/ruleIQ/tests/integration/test_ai_error_handling.py                                       | Python             |        362 |         31 |         80 |        473 |
| /home/omar/Documents/ruleIQ/tests/integration/test_ai_optimization_endpoints.py                               | Python             |        288 |         15 |         59 |        362 |
| /home/omar/Documents/ruleIQ/tests/integration/test_cached_content_api.py                                      | Python             |         75 |         10 |         22 |        107 |
| /home/omar/Documents/ruleIQ/tests/integration/test_comprehensive_api_workflows.py                             | Python             |        410 |         54 |        103 |        567 |
| /home/omar/Documents/ruleIQ/tests/integration/test_contract_validation.py                                     | Python             |        381 |         48 |        100 |        529 |
| /home/omar/Documents/ruleIQ/tests/integration/test_evidence_flow.py                                           | Python             |        235 |         48 |         67 |        350 |
| /home/omar/Documents/ruleIQ/tests/integration/test_external_service_integration.py                            | Python             |        501 |         67 |        148 |        716 |
| /home/omar/Documents/ruleIQ/tests/integration/test_jwt_auth_integration.py                                    | Python             |        213 |         25 |         64 |        302 |
