Date : 2025-09-01 11:51:47
Directory : /home/omar/Documents/ruleIQ
Total : 2222 files,  904423 codes, 25590 comments, 90891 blanks, all 1020904 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_5061b52c7264baf790c8e298bdfb16ec.json                    | JSON               |        344 |          0 |          0 |        344 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_55a3a03f46ab55d8bfdf1d51bd45a465.json                    | JSON               |        434 |          0 |          0 |        434 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_5c0a7e072649e4179a22749b05ab1f60.json                    | JSON               |        558 |          0 |          0 |        558 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_5cae196e5246f90721c84e0ae0b2ade4.json                    | JSON               |        151 |          0 |          0 |        151 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_5e314743d7ba80f65403a77f4fd2dd41.json                    | JSON               |        116 |          0 |          0 |        116 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_66750cb9ad761658d009062aea93576f.json                    | JSON               |        384 |          0 |          0 |        384 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_811c3cac3be32d6625e1129e72d641d1.json                    | JSON               |        405 |          0 |          0 |        405 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_84cc293fea5fab04f3d0ab50672ca2a9.json                    | JSON               |         78 |          0 |          0 |         78 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_9972d5fd32f9ab76e204190b26be0a4c.json                    | JSON               |        476 |          0 |          0 |        476 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_a17dbcfd6a213901f0afaa1d75f21447.json                    | JSON               |         83 |          0 |          0 |         83 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_a2e16e995499a4ed62ada22d6705e3d2.json                    | JSON               |        518 |          0 |          0 |        518 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_a584120fe3e7ea98f743e648424182ee.json                    | JSON               |        138 |          0 |          0 |        138 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_aaaeed38bb1ca56cd1bc5ae9c096f7d0.json                    | JSON               |        349 |          0 |          0 |        349 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_b13cc1ec4ebac227af48d837093d167c.json                    | JSON               |        106 |          0 |          0 |        106 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_b68dd1a37e099c3e5368511e6d0e6b58.json                    | JSON               |        320 |          0 |          0 |        320 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_b7f717c8007a186e67b7e91ceba09aa4.json                    | JSON               |        322 |          0 |          0 |        322 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_bbdd0cebba9e97e133f9d65b6c00815b.json                    | JSON               |        461 |          0 |          0 |        461 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_bbebb55ab953afb4fc3331716aebee99.json                    | JSON               |        262 |          0 |          0 |        262 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_c3796f05714919c069ddcca7e784b68b.json                    | JSON               |        270 |          0 |          0 |        270 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_d26e1f0a38d427a2fd062595713d8f27.json                    | JSON               |        299 |          0 |          0 |        299 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_d48d3b8868ba36564baf73fdca612149.json                    | JSON               |        258 |          0 |          0 |        258 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_d70a26c4c080e4462419bbc328a59e65.json                    | JSON               |        566 |          0 |          0 |        566 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_e43224f5ca46a50c5519664fc10054ed.json                    | JSON               |        260 |          0 |          0 |        260 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_ec8f288a12331491d58600fa46c03e0c.json                    | JSON               |        394 |          0 |          0 |        394 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_ecc84326f57ea9a5af48081a510dd7a7.json                    | JSON               |        581 |          0 |          0 |        581 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_f49594058e8eaa64b7a1f4e4ca0c999a.json                    | JSON               |        323 |          0 |          0 |        323 |
| /home/omar/Documents/ruleIQ/data/regulation_cache/uk_fb433854f4b38603ff56a8058946d2ae.json                    | JSON               |        433 |          0 |          0 |        433 |
| /home/omar/Documents/ruleIQ/data/regulation_fetch_checkpoint.json                                             | JSON               |          1 |          0 |          0 |          1 |
| /home/omar/Documents/ruleIQ/data/sample_12_result.json                                                        | JSON               |        434 |          0 |          0 |        434 |
| /home/omar/Documents/ruleIQ/data/test_legislation.xml                                                         | XML                |        665 |          0 |         16 |        681 |
| /home/omar/Documents/ruleIQ/database/README.md                                                                | Markdown           |         73 |          0 |         29 |        102 |
| /home/omar/Documents/ruleIQ/database/USAGE.md                                                                 | Markdown           |        121 |          0 |         52 |        173 |
| /home/omar/Documents/ruleIQ/database/__init__.py                                                              | Python             |        101 |          8 |          5 |        114 |
| /home/omar/Documents/ruleIQ/database/ai_cost_models.py                                                        | Python             |        275 |         58 |         93 |        426 |
| /home/omar/Documents/ruleIQ/database/ai_question_bank.py                                                      | Python             |        101 |         11 |         22 |        134 |
| /home/omar/Documents/ruleIQ/database/assessment_lead.py                                                       | Python             |         52 |          5 |         10 |         67 |
| /home/omar/Documents/ruleIQ/database/assessment_question.py                                                   | Python             |         20 |          1 |          6 |         27 |
| /home/omar/Documents/ruleIQ/database/assessment_session.py                                                    | Python             |         35 |          6 |         14 |         55 |
| /home/omar/Documents/ruleIQ/database/business_profile.py                                                      | Python             |         43 |          6 |         14 |         63 |
| /home/omar/Documents/ruleIQ/database/chat_conversation.py                                                     | Python             |         31 |          1 |         11 |         43 |
| /home/omar/Documents/ruleIQ/database/chat_message.py                                                          | Python             |         31 |          1 |          9 |         41 |
| /home/omar/Documents/ruleIQ/database/compliance_framework.py                                                  | Python             |         50 |          7 |         16 |         73 |
| /home/omar/Documents/ruleIQ/database/conversion_event.py                                                      | Python             |        171 |         12 |         27 |        210 |
| /home/omar/Documents/ruleIQ/database/db_setup.py                                                              | Python             |        310 |         26 |         66 |        402 |
| /home/omar/Documents/ruleIQ/database/evidence_item.py                                                         | Python             |         93 |         11 |         21 |        125 |
| /home/omar/Documents/ruleIQ/database/freemium_assessment_session.py                                           | Python             |         98 |         12 |         24 |        134 |
| /home/omar/Documents/ruleIQ/database/generated_policy.py                                                      | Python             |         43 |          8 |         16 |         67 |
| /home/omar/Documents/ruleIQ/database/implementation_plan.py                                                   | Python             |         26 |          1 |         11 |         38 |
| /home/omar/Documents/ruleIQ/database/init_db.py                                                               | Python             |         77 |          6 |         27 |        110 |
| /home/omar/Documents/ruleIQ/database/lead_scoring_event.py                                                    | Python             |        140 |         10 |         23 |        173 |
| /home/omar/Documents/ruleIQ/database/migrations/010_add_performance_indexes.py                                | Python             |         75 |         24 |         40 |        139 |
| /home/omar/Documents/ruleIQ/database/migrations/create_integration_tables.py                                  | Python             |         18 |          1 |          8 |         27 |
| /home/omar/Documents/ruleIQ/database/migrations/env.py                                                        | Python             |         37 |          4 |         15 |         56 |
| /home/omar/Documents/ruleIQ/database/models.py                                                                | Python             |         45 |         10 |         18 |         73 |
| /home/omar/Documents/ruleIQ/database/models/__init__.py                                                       | Python             |          3 |          0 |          1 |          4 |
| /home/omar/Documents/ruleIQ/database/models/evidence.py                                                       | Python             |         32 |          4 |          6 |         42 |
| /home/omar/Documents/ruleIQ/database/models/integrations.py                                                   | Python             |        170 |          8 |         36 |        214 |
| /home/omar/Documents/ruleIQ/database/models/policy.py                                                         | Python             |         24 |          1 |          5 |         30 |
| /home/omar/Documents/ruleIQ/database/performance_indexes.py                                                   | Python             |        113 |         13 |         22 |        148 |
| /home/omar/Documents/ruleIQ/database/query_optimization.py                                                    | Python             |        458 |         13 |        103 |        574 |
| /home/omar/Documents/ruleIQ/database/rbac.py                                                                  | Python             |        175 |         14 |         44 |        233 |
| /home/omar/Documents/ruleIQ/database/readiness_assesment.py                                                   | Python             |         52 |         13 |         19 |         84 |
| /home/omar/Documents/ruleIQ/database/readiness_assessment.py                                                  | Python             |         31 |          0 |         10 |         41 |
| /home/omar/Documents/ruleIQ/database/redis_client.py                                                          | Python             |         13 |          0 |          2 |         15 |
| /home/omar/Documents/ruleIQ/database/report_schedule.py                                                       | Python             |         38 |          1 |         12 |         51 |
| /home/omar/Documents/ruleIQ/database/services/__init__.py                                                     | Python             |         21 |          0 |          3 |         24 |
| /home/omar/Documents/ruleIQ/database/services/integration_service.py                                          | Python             |        480 |         26 |        111 |        617 |
| /home/omar/Documents/ruleIQ/database/user.py                                                                  | Python             |         23 |          1 |          6 |         30 |
| /home/omar/Documents/ruleIQ/docker-compose.freemium.yml                                                       | YAML               |        262 |         10 |         11 |        283 |
| /home/omar/Documents/ruleIQ/docker-compose.neo4j.yml                                                          | YAML               |         35 |          0 |          3 |         38 |
| /home/omar/Documents/ruleIQ/docker-compose.neon.yml                                                           | YAML               |         80 |          1 |          6 |         87 |
| /home/omar/Documents/ruleIQ/docker-compose.prod.yml                                                           | YAML               |         88 |          0 |          7 |         95 |
| /home/omar/Documents/ruleIQ/docker-compose.test.yml                                                           | YAML               |         41 |          1 |          4 |         46 |
| /home/omar/Documents/ruleIQ/docker-compose.yml                                                                | YAML               |         72 |          0 |          6 |         78 |
| /home/omar/Documents/ruleIQ/docs/API_ALIGNMENT_FINAL_REPORT.md                                                | Markdown           |        125 |          0 |         43 |        168 |
| /home/omar/Documents/ruleIQ/docs/API_ENDPOINTS_DOCUMENTATION.md                                               | Markdown           |        243 |          0 |         53 |        296 |
| /home/omar/Documents/ruleIQ/docs/ARCHITECTURE_INTEGRATION_MATRIX.md                                           | Markdown           |         78 |          0 |         19 |         97 |
| /home/omar/Documents/ruleIQ/docs/AUDIT_COMPLETE_REPORT.md                                                     | Markdown           |        576 |          0 |        146 |        722 |
| /home/omar/Documents/ruleIQ/docs/AUDIT_PHASE1_FILESYSTEM.md                                                   | Markdown           |        172 |          0 |         33 |        205 |
| /home/omar/Documents/ruleIQ/docs/AUDIT_PHASE2_COMPONENTS.md                                                   | Markdown           |        366 |          0 |         78 |        444 |
| /home/omar/Documents/ruleIQ/docs/AUDIT_PROGRESS.md                                                            | Markdown           |         36 |          0 |         10 |         46 |
| /home/omar/Documents/ruleIQ/docs/AUTHENTICATION_FLOW_DOCUMENTATION.md                                         | Markdown           |        302 |          0 |         83 |        385 |
| /home/omar/Documents/ruleIQ/docs/CELERY_TO_LANGGRAPH_MIGRATION.md                                             | Markdown           |        250 |          0 |         73 |        323 |
| /home/omar/Documents/ruleIQ/docs/CODE_QUALITY_METRICS.md                                                      | Markdown           |        169 |          0 |         37 |        206 |
| /home/omar/Documents/ruleIQ/docs/COMPLIANCE_ENHANCEMENT_IMPLEMENTATION.md                                     | Markdown           |        231 |          0 |         49 |        280 |
| /home/omar/Documents/ruleIQ/docs/COMPONENT_FIX_LIST.md                                                        | Markdown           |        229 |          0 |         51 |        280 |
| /home/omar/Documents/ruleIQ/docs/COMPREHENSIVE_TEST_STATUS_REPORT.md                                          | Markdown           |        137 |          0 |         51 |        188 |
| /home/omar/Documents/ruleIQ/docs/CONCRETE_VERIFICATION_REPORT.md                                              | Markdown           |        132 |          0 |         29 |        161 |
| /home/omar/Documents/ruleIQ/docs/CONFIDENCE_SCORING_FRAMEWORK.md                                              | Markdown           |        696 |          0 |        146 |        842 |
| /home/omar/Documents/ruleIQ/docs/CONFIGURATION.md                                                             | Markdown           |        340 |          0 |        113 |        453 |
| /home/omar/Documents/ruleIQ/docs/CRITICAL_FIXES.md                                                            | Markdown           |        112 |          0 |         39 |        151 |
| /home/omar/Documents/ruleIQ/docs/CRITICAL_ISSUES_FIX_PLAN.md                                                  | Markdown           |        388 |          0 |         90 |        478 |
| /home/omar/Documents/ruleIQ/docs/DATABASE_ANALYSIS_REPORT.md                                                  | Markdown           |      1,813 |          0 |        398 |      2,211 |
| /home/omar/Documents/ruleIQ/docs/DEPLOYMENT.md                                                                | Markdown           |        277 |          0 |         92 |        369 |
| /home/omar/Documents/ruleIQ/docs/DEPLOYMENT_DECISION_EXECUTIVE_SUMMARY.md                                     | Markdown           |        172 |          0 |         54 |        226 |
| /home/omar/Documents/ruleIQ/docs/DEPLOYMENT_GUIDE.md                                                          | Markdown           |        198 |          0 |         87 |        285 |
| /home/omar/Documents/ruleIQ/docs/DEPLOYMENT_READY_STATUS.md                                                   | Markdown           |        148 |          0 |         41 |        189 |
| /home/omar/Documents/ruleIQ/docs/DEPLOYMENT_ROADMAP.md                                                        | Markdown           |        605 |          0 |        191 |        796 |
| /home/omar/Documents/ruleIQ/docs/DOCUMENTATION_UPDATE_SUMMARY.md                                              | Markdown           |        189 |          0 |         50 |        239 |
| /home/omar/Documents/ruleIQ/docs/DOPPLER_SECRETS_VAULT.md                                                     | Markdown           |        238 |          0 |         70 |        308 |
| /home/omar/Documents/ruleIQ/docs/DRAFT_ARCHITECTURE_DECISIONS.md                                              | Markdown           |        164 |          0 |         47 |        211 |
| /home/omar/Documents/ruleIQ/docs/EFFICIENCY_IMPROVEMENTS_REPORT.md                                            | Markdown           |         95 |          0 |         38 |        133 |
| /home/omar/Documents/ruleIQ/docs/ENVIRONMENT_CONFIGURATION_JWT.md                                             | Markdown           |        238 |          0 |         62 |        300 |
| /home/omar/Documents/ruleIQ/docs/EXECUTIVE_SUMMARY.md                                                         | Markdown           |         86 |          0 |         31 |        117 |
| /home/omar/Documents/ruleIQ/docs/FACT_CHECK_AUDIT_REPORT.md                                                   | Markdown           |        280 |          0 |         99 |        379 |
| /home/omar/Documents/ruleIQ/docs/FACT_CHECK_IMPLEMENTATION_RECOMMENDATIONS.md                                 | Markdown           |      1,202 |          0 |        296 |      1,498 |
| /home/omar/Documents/ruleIQ/docs/FINAL_PRODUCTION_READINESS_ASSESSMENT.md                                     | Markdown           |        135 |          0 |         49 |        184 |
| /home/omar/Documents/ruleIQ/docs/FINAL_QA_AUTOMATION_STATUS.md                                                | Markdown           |        133 |          0 |         54 |        187 |
| /home/omar/Documents/ruleIQ/docs/FINAL_TEST_STATUS_REPORT.md                                                  | Markdown           |        142 |          0 |         52 |        194 |
| /home/omar/Documents/ruleIQ/docs/FREEMIUM_DEPLOYMENT_GUIDE.md                                                 | Markdown           |        286 |          0 |         80 |        366 |
| /home/omar/Documents/ruleIQ/docs/FREEMIUM_PRODUCTION_DEPLOYMENT_SUMMARY.md                                    | Markdown           |        153 |          0 |         38 |        191 |
| /home/omar/Documents/ruleIQ/docs/FRONTEND_API_CLIENT_GUIDE.md                                                 | Markdown           |        250 |          0 |         95 |        345 |
| /home/omar/Documents/ruleIQ/docs/FRONTEND_BACKEND_ENDPOINT_MAPPING.md                                         | Markdown           |        252 |          0 |         37 |        289 |
| /home/omar/Documents/ruleIQ/docs/HALLUCINATION_PREVENTION_PROTOCOLS.md                                        | Markdown           |        740 |          0 |        158 |        898 |
| /home/omar/Documents/ruleIQ/docs/IMPLEMENTATION_PLAN.md                                                       | Markdown           |        312 |          0 |         72 |        384 |
| /home/omar/Documents/ruleIQ/docs/INTEGRATION_API_TESTING_ANALYSIS.md                                          | Markdown           |        452 |          0 |        124 |        576 |
| /home/omar/Documents/ruleIQ/docs/INTEGRATION_TESTING_IMPLEMENTATION_GUIDE.md                                  | Markdown           |        324 |          0 |         74 |        398 |
| /home/omar/Documents/ruleIQ/docs/IQ_AGENT_IMPLEMENTATION_GUIDE.md                                             | Markdown           |        536 |          0 |        150 |        686 |
| /home/omar/Documents/ruleIQ/docs/LANGGRAPH_ASSESSMENT_GUIDE.md                                                | Markdown           |        285 |          0 |         79 |        364 |
| /home/omar/Documents/ruleIQ/docs/LANGGRAPH_COMPLETE_FIX_PLAN.md                                               | Markdown           |        856 |          0 |        212 |      1,068 |
| /home/omar/Documents/ruleIQ/docs/LANGGRAPH_INTEGRATION_COMPLETE.md                                            | Markdown           |        275 |          0 |         60 |        335 |
| /home/omar/Documents/ruleIQ/docs/LANGSMITH_TRACING.md                                                         | Markdown           |        171 |          0 |         65 |        236 |
| /home/omar/Documents/ruleIQ/docs/MFA_IMPLEMENTATION_PLAN.md                                                   | Markdown           |        205 |          0 |         52 |        257 |
| /home/omar/Documents/ruleIQ/docs/NEO4J_ENHANCEMENTS_COMPLETE.md                                               | Markdown           |        147 |          0 |         42 |        189 |
| /home/omar/Documents/ruleIQ/docs/NEON_DATABASE_SETUP.md                                                       | Markdown           |         79 |          0 |         32 |        111 |
| /home/omar/Documents/ruleIQ/docs/PENETRATION_TESTING_SCENARIOS.md                                             | Markdown           |        892 |          0 |        261 |      1,153 |
| /home/omar/Documents/ruleIQ/docs/PERFORMANCE_TESTING_ANALYSIS.md                                              | Markdown           |      1,339 |          0 |        291 |      1,630 |
| /home/omar/Documents/ruleIQ/docs/POSTMAN_DOPPLER_INTEGRATION_GUIDE.md                                         | Markdown           |        193 |          0 |         51 |        244 |
| /home/omar/Documents/ruleIQ/docs/POSTMAN_SETUP.md                                                             | Markdown           |        184 |          0 |         35 |        219 |
| /home/omar/Documents/ruleIQ/docs/PRODUCTION_READINESS_PLAN.md                                                 | Markdown           |        161 |          0 |         48 |        209 |
| /home/omar/Documents/ruleIQ/docs/PRODUCTION_READY_STATUS.md                                                   | Markdown           |        135 |          0 |         48 |        183 |
| /home/omar/Documents/ruleIQ/docs/PROJECT_STATUS_UPDATE_AUGUST_2025.md                                         | Markdown           |        205 |          0 |         56 |        261 |
| /home/omar/Documents/ruleIQ/docs/QA_AUTOMATION_IMPLEMENTATION.md                                              | Markdown           |        303 |          0 |         95 |        398 |
| /home/omar/Documents/ruleIQ/docs/RACI_MATRIX.md                                                               | Markdown           |        112 |          0 |         33 |        145 |
| /home/omar/Documents/ruleIQ/docs/README.md                                                                    | Markdown           |         87 |          0 |         19 |        106 |
| /home/omar/Documents/ruleIQ/docs/RESOURCE_CAPACITY_ANALYSIS.md                                                | Markdown           |        169 |          0 |         55 |        224 |
| /home/omar/Documents/ruleIQ/docs/RISK_REGISTER.md                                                             | Markdown           |        181 |          0 |         73 |        254 |
| /home/omar/Documents/ruleIQ/docs/SECURITY_AUDIT_REPORT.md                                                     | Markdown           |        451 |          0 |        112 |        563 |
| /home/omar/Documents/ruleIQ/docs/SPRINT_0_BACKLOG.md                                                          | Markdown           |        177 |          0 |         44 |        221 |
| /home/omar/Documents/ruleIQ/docs/STACK_AUTH_MIGRATION_PLAN.md                                                 | Markdown           |        224 |          0 |         63 |        287 |
| /home/omar/Documents/ruleIQ/docs/STAKEHOLDER_PRESENTATION.md                                                  | Markdown           |        183 |          0 |         53 |        236 |
| /home/omar/Documents/ruleIQ/docs/TESTING_PROCEDURES.md                                                        | Markdown           |        348 |          0 |        146 |        494 |
| /home/omar/Documents/ruleIQ/docs/TESTSPRITE_EXECUTION_SUMMARY.md                                              | Markdown           |        164 |          0 |         46 |        210 |
| /home/omar/Documents/ruleIQ/docs/TEST_HEALTH_REPORT.md                                                        | Markdown           |         23 |          0 |          9 |         32 |
| /home/omar/Documents/ruleIQ/docs/UK_COMPLIANCE_INTEGRATION_PLAN.md                                            | Markdown           |        383 |          0 |         98 |        481 |
| /home/omar/Documents/ruleIQ/docs/ULTIMATE_FRONTEND_TEST_STATUS.md                                             | Markdown           |        158 |          0 |         52 |        210 |
| /home/omar/Documents/ruleIQ/docs/VERIFICATION_TESTING_SUITE.md                                                | Markdown           |      1,310 |          0 |        290 |      1,600 |
| /home/omar/Documents/ruleIQ/docs/api-alignment-strategy.md                                                    | Markdown           |        125 |          0 |         30 |        155 |
| /home/omar/Documents/ruleIQ/docs/api-fix-plan.md                                                              | Markdown           |        291 |          0 |         55 |        346 |
| /home/omar/Documents/ruleIQ/docs/api-migration-plan.md                                                        | Markdown           |        181 |          0 |         43 |        224 |
| /home/omar/Documents/ruleIQ/docs/api/README.md                                                                | Markdown           |        422 |          0 |         74 |        496 |
| /home/omar/Documents/ruleIQ/docs/api/ai-endpoints.md                                                          | Markdown           |        365 |          0 |         56 |        421 |
| /home/omar/Documents/ruleIQ/docs/api/auth-endpoints.md                                                        | Markdown           |        355 |          0 |        115 |        470 |
| /home/omar/Documents/ruleIQ/docs/api/endpoints-integration-guide.md                                           | Markdown           |         85 |          0 |         24 |        109 |
| /home/omar/Documents/ruleIQ/docs/api_endpoint_inventory_verified.md                                           | Markdown           |          4 |          0 |          3 |          7 |
| /home/omar/Documents/ruleIQ/docs/api_orchestration_solutions.md                                               | Markdown           |        370 |          0 |         65 |        435 |
| /home/omar/Documents/ruleIQ/docs/backup/prd_documents/BACKUP_SUMMARY.md                                       | Markdown           |         21 |          0 |          7 |         28 |
| /home/omar/Documents/ruleIQ/docs/backup/prd_documents/CRITICAL_ISSUES_FIX_PLAN.md                             | Markdown           |        388 |          0 |         90 |        478 |
| /home/omar/Documents/ruleIQ/docs/backup/prd_documents/IMPLEMENTATION_PLAN.md                                  | Markdown           |        312 |          0 |         72 |        384 |
| /home/omar/Documents/ruleIQ/docs/backup/prd_documents/documentation_requirements.md                           | Markdown           |         29 |          0 |         12 |         41 |
| /home/omar/Documents/ruleIQ/docs/compliance-state-test-report.md                                              | Markdown           |        137 |          0 |         39 |        176 |
| /home/omar/Documents/ruleIQ/docs/compliance/security-measures.md                                              | Markdown           |        282 |          0 |         65 |        347 |
| /home/omar/Documents/ruleIQ/docs/developer/architecture.md                                                    | Markdown           |        246 |          0 |         63 |        309 |
| /home/omar/Documents/ruleIQ/docs/developer/database.md                                                        | Markdown           |        360 |          0 |         82 |        442 |
| /home/omar/Documents/ruleIQ/docs/developer/deployment.md                                                      | Markdown           |        176 |          0 |         72 |        248 |
| /home/omar/Documents/ruleIQ/docs/developer/frontend-context.md                                                | Markdown           |        417 |          0 |         83 |        500 |
| /home/omar/Documents/ruleIQ/docs/developer/frontend.md                                                        | Markdown           |         92 |          0 |         29 |        121 |
| /home/omar/Documents/ruleIQ/docs/developer/security.md                                                        | Markdown           |        198 |          0 |         77 |        275 |
| /home/omar/Documents/ruleIQ/docs/developer/setup.md                                                           | Markdown           |        279 |          0 |        108 |        387 |
| /home/omar/Documents/ruleIQ/docs/developer/testing-context.md                                                 | Markdown           |        451 |          0 |         90 |        541 |
| /home/omar/Documents/ruleIQ/docs/developer/testing.md                                                         | Markdown           |        239 |          0 |         69 |        308 |
| /home/omar/Documents/ruleIQ/docs/doppler-integration-guide.md                                                 | Markdown           |        400 |          0 |        127 |        527 |
| /home/omar/Documents/ruleIQ/docs/doppler_troubleshooting_guide.md                                             | Markdown           |        479 |          0 |        132 |        611 |
| /home/omar/Documents/ruleIQ/docs/doppler_validation_report.md                                                 | Markdown           |        218 |          0 |         52 |        270 |
| /home/omar/Documents/ruleIQ/docs/endpoint_inventory_fact_checked.md                                           | Markdown           |          1 |          0 |          1 |          2 |
| /home/omar/Documents/ruleIQ/docs/endpoint_validation_results.md                                               | Markdown           |         78 |          0 |         16 |         94 |
| /home/omar/Documents/ruleIQ/docs/features/policy-generation-guide.md                                          | Markdown           |          0 |          0 |          1 |          1 |
| /home/omar/Documents/ruleIQ/docs/frontend-light-touch/IMPLEMENTATION_COMPLETE.md                              | Markdown           |        157 |          0 |         45 |        202 |
| /home/omar/Documents/ruleIQ/docs/frontend-light-touch/audit-report.md                                         | Markdown           |        174 |          0 |         60 |        234 |
| /home/omar/Documents/ruleIQ/docs/frontend-light-touch/implementation-guide.md                                 | Markdown           |        494 |          0 |         78 |        572 |
| /home/omar/Documents/ruleIQ/docs/frontend-light-touch/migration-plan.md                                       | Markdown           |        293 |          0 |         75 |        368 |
| /home/omar/Documents/ruleIQ/docs/frontend-light-touch/phase-2-summary.md                                      | Markdown           |        148 |          0 |         45 |        193 |
| /home/omar/Documents/ruleIQ/docs/frontend-light-touch/style-tokens.json                                       | JSON               |        171 |          0 |          0 |        171 |
| /home/omar/Documents/ruleIQ/docs/frontend-light-touch/tailwind-patch.js                                       | JavaScript         |        114 |         17 |         11 |        142 |
| /home/omar/Documents/ruleIQ/docs/frontend-light-touch/validate-accessibility.js                               | JavaScript         |         80 |         10 |         16 |        106 |
| /home/omar/Documents/ruleIQ/docs/frontend-light-touch/visual-mockup-specs.md                                  | Markdown           |        327 |          0 |         57 |        384 |
| /home/omar/Documents/ruleIQ/docs/frontend/audit.md                                                            | Markdown           |          0 |          0 |          1 |          1 |
| /home/omar/Documents/ruleIQ/docs/frontend/uplift-plan.md                                                      | Markdown           |          0 |          0 |          1 |          1 |
| /home/omar/Documents/ruleIQ/docs/iso27001-templates/README.md                                                 | Markdown           |         34 |          0 |         13 |         47 |
| /home/omar/Documents/ruleIQ/docs/langgraph-patterns-learned.md                                                | Markdown           |        278 |          0 |         74 |        352 |
| /home/omar/Documents/ruleIQ/docs/monitoring.md                                                                | Markdown           |        400 |          0 |        124 |        524 |
| /home/omar/Documents/ruleIQ/docs/postman_frontend_integration.md                                              | Markdown           |        151 |          0 |         43 |        194 |
| /home/omar/Documents/ruleIQ/docs/postman_integration_validation_report.md                                     | Markdown           |        183 |          0 |         48 |        231 |
| /home/omar/Documents/ruleIQ/docs/postman_test_summary.md                                                      | Markdown           |         59 |          0 |         17 |         76 |
| /home/omar/Documents/ruleIQ/docs/security-remediation.md                                                      | Markdown           |        131 |          0 |         40 |        171 |
| /home/omar/Documents/ruleIQ/docs/spec.md                                                                      | Markdown           |         48 |          0 |         19 |         67 |
| /home/omar/Documents/ruleIQ/docs/technical/ai-implementation.md                                               | Markdown           |        298 |          0 |         61 |        359 |
| /home/omar/Documents/ruleIQ/docs/technical/ai-services.md                                                     | Markdown           |        375 |          0 |        117 |        492 |
| /home/omar/Documents/ruleIQ/docs/technical/monitoring.md                                                      | Markdown           |        284 |          0 |         83 |        367 |
| /home/omar/Documents/ruleIQ/docs/technical/performance.md                                                     | Markdown           |        243 |          0 |         58 |        301 |
| /home/omar/Documents/ruleIQ/docs/technical/troubleshooting.md                                                 | Markdown           |        321 |          0 |        122 |        443 |
| /home/omar/Documents/ruleIQ/docs/test-suite-status-aug27.md                                                   | Markdown           |         71 |          0 |         16 |         87 |
| /home/omar/Documents/ruleIQ/docs/testing-strategy.md                                                          | Markdown           |        331 |          0 |         67 |        398 |
| /home/omar/Documents/ruleIQ/docs/user-guides/assessment-workflow.md                                           | Markdown           |        285 |          0 |         89 |        374 |
| /home/omar/Documents/ruleIQ/docs/user-guides/integration-overview.md                                          | Markdown           |        460 |          0 |         99 |        559 |
| /home/omar/Documents/ruleIQ/doppler_verification_report.md                                                    | Markdown           |         76 |          0 |         15 |         91 |
| /home/omar/Documents/ruleIQ/frontend/.checkpoint-2025-01-07.md                                                | Markdown           |         46 |          0 |         21 |         67 |
| /home/omar/Documents/ruleIQ/frontend/.claude/settings.local.json                                              | JSON               |         27 |          0 |          1 |         28 |
| /home/omar/Documents/ruleIQ/frontend/.dockerignore                                                            | Ignore             |         30 |         13 |         13 |         56 |
| /home/omar/Documents/ruleIQ/frontend/.github/workflows/ci.yml                                                 | YAML               |         74 |          2 |         23 |         99 |
| /home/omar/Documents/ruleIQ/frontend/.github/workflows/e2e-tests.yml                                          | YAML               |         79 |          0 |         22 |        101 |
| /home/omar/Documents/ruleIQ/frontend/.github/workflows/lighthouse-ci.yml                                      | YAML               |          0 |          0 |          1 |          1 |
| /home/omar/Documents/ruleIQ/frontend/.github/workflows/visual-tests.yml                                       | YAML               |        158 |          0 |         30 |        188 |
| /home/omar/Documents/ruleIQ/frontend/.prettierignore                                                          | Ignore             |         21 |          9 |          8 |         38 |
